Student ID,Name,Age,Gender,Attendance,Participation,CS101A,CS102A,CS103A,CS104A,CS105A,CS106A,CS107A,CS108A,CS109A,CS1010A,CS1011A,CS1012A,CS1013A,CS1014A,CS1015A,CS1016A,CS1017A,CS1018A,CS1019A,CS1020A,CS1021A,CS1022A,CS1023A,CS1024A,CS1025A,CS1026A,CS1027A,CS1028A,CS1029A,CS1030A,CS1031A,CS1032A,CS1033A,CS1034A,CS1035A,CS1036A,CS1037A,CS1038A,CS1039A,CS1040A,CGPA
ST-16597,OPPCJAB,23,Female,72.67060559,76.07585923,A,B,A,C,A,B,C,B,B,B,A,D,C,A,A,A,D,B,A,D,A,D,B,C,D,D,A,C,C,A,C,A,B,A,B,A,B,A,C,A,2.9
ST-32077,PUDJVOZ,22,Male,96.27075613,57.12096678,A,A,A,A,D,B,A,C,C,A,A,D,C,D,A,C,C,A,B,A,C,D,C,D,D,A,B,C,A,C,C,A,A,C,B,B,C,D,A,D,2.675
ST-46419,MPSCKLJ,19,Female,72.63569501,52.3797042,D,D,C,C,D,B,E,A,D,B,D,E,D,E,E,A,C,B,D,C,D,D,C,D,A,B,C,D,E,E,B,D,E,B,E,D,C,A,A,A,1.825
ST-42051,DOAAOSI,22,Female,80.85232053,50.99126849,D,E,E,D,B,B,A,D,C,A,A,E,E,B,B,A,E,B,D,A,D,E,C,B,B,D,C,A,D,E,E,D,C,E,D,C,D,C,E,E,1.812
ST-54060,VCPJVSG,21,Female,79.9814283,63.63016778,C,C,A,B,C,B,C,D,A,C,B,D,C,D,C,D,D,D,A,D,C,D,C,C,D,B,C,C,B,B,C,D,A,C,C,C,D,A,D,B,2.125
ST-11671,TTNMZCX,20,Male,65.06810926,86.72001395,C,C,C,D,A,C,A,A,B,A,B,C,A,A,C,C,B,C,D,B,A,D,A,D,B,A,A,B,B,D,B,A,D,C,C,C,B,A,B,C,2.7
ST-40693,FVHDIJA,20,Female,76.26297222,87.10632888,B,C,C,A,C,A,C,A,C,A,C,B,B,C,C,B,C,A,C,A,A,B,C,C,C,B,A,B,A,A,A,A,A,A,B,A,B,C,A,C,3.025
ST-66315,QLFQXTV,22,Male,89.93769729,94.78536062,A,A,A,A,B,B,B,A,B,A,A,B,A,A,A,B,B,B,A,A,A,A,A,A,A,A,B,B,B,B,A,A,A,B,B,B,A,A,B,A,3.6
ST-80997,GRYIGFV,26,Male,89.12723021,73.26265682,C,B,B,C,B,A,B,C,A,A,A,A,A,A,B,C,A,A,B,B,C,C,C,A,B,B,B,C,A,A,A,B,B,C,C,A,A,A,C,A,3.15
ST-65260,FCXBUQV,23,Female,89.89477979,92.31075725,B,B,A,A,A,A,B,B,B,B,B,B,A,A,A,A,A,B,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,B,B,A,A,3.45
ST-64893,VEWPWZV,22,Female,74.38606217,65.62830356,C,B,B,B,A,D,B,B,C,B,B,C,B,C,A,D,C,A,A,D,C,B,A,A,D,A,D,D,C,B,B,A,B,C,B,B,B,B,B,B,2.7
ST-76454,QTSEGSL,23,Female,61.51336665,93.19879731,B,D,B,C,D,A,B,C,D,D,B,C,D,C,D,C,B,D,B,D,B,A,D,B,B,B,C,D,B,B,A,B,D,C,D,D,C,A,D,A,2.225
ST-64830,ZPWTAMJ,23,Male,55.11713876,72.3774658,D,A,B,D,C,A,A,C,C,C,C,E,B,A,E,A,A,B,A,C,C,C,A,B,C,A,C,C,E,E,E,C,A,C,D,A,E,D,E,A,2.338
ST-82393,DTFNOIN,19,Male,83.75252563,91.38884315,C,C,A,B,A,C,C,C,C,A,B,B,A,B,C,B,A,B,C,C,C,B,B,B,A,B,B,C,B,C,A,A,C,C,A,C,A,B,C,A,2.875
ST-54446,PEOBJDN,24,Male,89.39535802,77.30045275,A,A,C,C,B,B,C,C,C,A,C,C,B,A,B,C,C,B,C,A,A,B,C,B,A,A,B,C,C,B,C,C,A,B,C,A,C,B,A,B,2.85
ST-54166,JCSDVUS,18,Male,80.27441673,91.13539594,B,B,C,A,B,B,A,C,B,C,C,B,A,A,B,B,C,B,A,B,B,C,B,B,A,B,A,A,A,B,A,A,A,C,A,C,B,B,B,B,3.125
ST-71320,FIFHATP,25,Female,97.50310197,82.24124525,C,C,A,C,A,C,C,A,A,C,B,C,A,C,B,C,A,A,A,B,A,A,A,C,B,C,B,C,C,B,C,A,A,C,C,A,C,C,B,B,2.9
ST-23680,SBTUCHL,24,Male,73.4630916,70.17227848,D,A,B,C,D,B,D,A,B,A,D,A,A,D,A,D,A,C,C,D,D,D,C,C,A,D,D,C,D,A,D,A,C,B,C,A,D,C,A,C,2.35
ST-90904,ZHCTQAC,26,Female,51.93099297,93.28515839,C,B,A,B,D,C,A,D,B,C,C,C,A,C,B,A,A,A,D,D,D,A,B,C,B,D,D,D,C,B,A,B,D,D,A,B,A,D,A,C,2.5
ST-90397,JRHOXYG,23,Male,81.31210896,62.74469817,D,A,B,B,D,D,D,B,C,D,D,B,B,C,A,C,D,B,C,C,C,D,B,C,D,A,A,B,B,B,A,D,C,A,B,C,C,D,A,A,2.4
ST-12988,IIVLHDW,21,Male,98.49715499,55.88836696,B,C,B,B,D,A,D,A,C,C,A,A,B,D,D,A,A,D,C,C,B,A,C,C,A,A,C,C,B,A,C,C,B,B,B,C,D,A,D,A,2.65
ST-11012,PDRFPAE,26,Female,62.70423614,74.41893228,A,C,A,C,B,C,B,E,C,B,B,E,B,D,B,C,D,C,B,B,B,E,D,E,A,C,E,B,C,A,D,C,C,A,C,C,E,D,D,D,2.1
ST-43527,FGYNSZS,18,Female,92.55315213,89.32590735,B,A,A,A,A,A,B,B,B,B,A,A,B,A,A,B,B,B,A,A,A,B,A,B,B,B,B,A,B,B,A,A,A,B,B,B,A,A,B,B,3.475
ST-84828,ESHTFJX,21,Male,78.32352661,80.69487753,B,A,B,C,D,A,C,D,D,D,D,B,C,B,A,D,A,D,D,D,D,A,A,D,C,C,A,C,B,A,C,C,A,A,B,C,A,C,A,B,2.5
ST-58927,GDJIEFR,18,Male,76.50524996,75.24369162,C,B,B,C,A,A,B,B,B,C,A,D,C,A,C,D,D,A,D,C,B,A,A,A,B,A,B,A,D,D,D,D,B,A,B,B,B,B,D,D,2.625
ST-60182,JOIYVEJ,20,Male,98.12793273,70.57867227,A,A,A,C,A,C,A,C,B,B,B,B,C,B,B,C,C,A,B,C,B,C,A,C,C,C,B,A,C,C,C,B,C,C,B,A,A,C,A,A,2.875
ST-08109,PFEFYCQ,23,Male,81.32227834,69.77947445,C,D,C,C,B,C,B,B,D,C,A,B,D,C,D,A,C,B,A,C,B,A,B,D,B,B,B,B,C,A,B,A,C,C,D,B,C,C,C,C,2.475
ST-90286,FMPZMEZ,19,Male,91.24329021,93.59388426,B,B,B,B,A,B,B,B,B,A,A,B,A,A,B,A,A,B,B,A,A,A,A,B,A,A,B,B,A,A,A,B,A,B,B,A,A,A,A,B,3.525
ST-28896,FKSUCML,22,Male,73.46865421,71.76465407,B,B,D,B,B,C,B,D,C,D,B,D,C,D,B,C,C,B,A,A,C,B,B,B,C,B,C,B,D,D,B,B,B,A,C,D,A,B,B,C,2.45
ST-02238,GETCDFN,20,Male,73.07293802,77.6878336,C,B,A,B,C,C,D,B,A,C,D,A,C,C,D,C,C,B,D,A,B,A,B,C,D,D,B,B,C,B,B,D,C,B,A,B,C,D,C,C,2.4
ST-52100,QPXJJOB,19,Female,64.57228685,61.11034955,C,B,E,B,A,E,C,B,B,E,B,E,D,E,B,D,B,E,B,A,D,E,E,B,D,B,E,C,E,B,A,B,D,B,E,A,C,A,A,C,2.088
ST-19255,ZZEFGDX,26,Female,58.71798803,97.40164416,B,A,B,C,A,A,A,D,A,D,C,C,B,A,B,D,A,C,D,B,B,B,A,B,B,B,C,A,D,C,C,D,A,B,B,B,B,C,C,A,2.75
ST-96043,KGCDJGK,21,Male,61.35327424,99.15801147,B,B,C,C,A,C,A,A,A,A,B,C,C,A,A,C,B,A,C,B,B,A,B,C,C,B,B,C,B,B,A,A,A,B,C,B,A,C,C,A,3.025
ST-35449,OHFCHIX,25,Male,75.13519266,72.21965125,C,D,A,D,B,A,C,D,B,D,A,C,C,B,C,C,A,D,B,B,B,A,D,B,C,A,B,C,D,B,D,B,B,B,B,C,C,D,B,A,2.475
ST-22690,OQVKBWZ,26,Female,96.4138795,78.31868829,B,C,B,B,B,C,A,B,C,C,C,B,B,C,C,B,B,C,A,C,C,C,A,B,B,C,A,B,B,C,B,A,C,C,C,A,A,A,B,B,2.8
ST-95954,ODHERZH,23,Female,81.48337865,76.86959212,B,B,C,B,A,C,C,C,B,B,B,D,B,B,A,A,D,A,A,A,A,B,B,D,C,A,A,C,C,B,C,C,C,A,C,A,A,B,D,C,2.8
ST-68583,KGGBFEM,19,Female,78.88526974,58.48875689,A,D,E,E,C,B,B,C,B,E,A,B,C,C,A,E,C,A,C,E,B,E,E,C,E,C,E,D,D,E,A,C,C,D,A,C,E,D,A,D,1.912
ST-19830,JDPBFHK,24,Female,76.37938069,91.88741988,B,A,B,B,B,C,A,C,C,A,A,B,B,C,A,A,B,B,B,B,A,C,A,A,C,B,A,A,B,B,B,C,A,C,A,A,A,C,B,C,3.125
ST-16774,WPYPKKZ,21,Female,96.89493798,54.78915743,C,B,D,A,C,B,C,A,D,A,C,C,A,B,C,B,A,B,A,C,C,A,C,C,A,A,B,A,A,C,D,B,D,D,B,A,B,B,B,A,2.8
ST-79044,GSCZXYP,25,Female,88.31798143,91.79995591,B,B,B,A,B,A,B,B,A,A,A,B,A,B,B,B,B,B,A,A,B,B,A,A,A,A,A,B,B,A,B,A,A,A,A,A,B,A,B,B,3.5
ST-06915,JZPEFDS,20,Female,64.64331436,76.53212033,A,A,C,B,C,A,D,A,A,D,C,C,B,D,B,D,C,D,C,B,B,D,B,C,B,B,A,B,A,D,C,D,A,D,A,A,D,C,C,C,2.475
ST-81403,IJOQIUV,18,Male,79.93296251,90.1202302,A,C,A,A,A,A,C,A,A,B,A,B,A,A,B,A,C,A,C,A,C,C,B,C,A,B,A,C,B,C,C,A,B,C,B,C,A,B,A,C,3.125
ST-91199,WRRIYEF,21,Female,76.50377595,81.03058815,B,A,A,C,A,D,D,A,B,B,A,B,B,A,D,A,B,A,D,C,B,D,A,D,B,D,A,C,D,A,A,C,C,B,D,B,A,C,B,A,2.75
ST-93749,CGMLCGS,21,Male,55.66404845,70.74513928,E,C,B,D,D,E,A,B,B,A,E,D,B,C,B,E,D,C,E,C,A,A,E,E,C,E,C,D,D,E,A,D,D,E,D,D,A,B,B,B,1.875
ST-38714,ETLLMOR,22,Female,71.62132714,83.01150513,C,A,A,B,C,C,B,A,B,B,A,B,C,C,C,C,C,C,A,D,C,A,D,C,C,D,B,B,C,B,D,C,D,C,C,C,B,B,B,B,2.475
ST-36751,MUPLCOR,22,Male,80.54064935,66.07855419,B,B,B,C,A,D,D,C,B,D,D,B,C,B,A,A,A,C,A,D,C,C,B,B,D,B,D,B,C,A,B,A,D,B,C,A,A,A,D,C,2.575
ST-80721,QSLAGUZ,24,Male,62.98578278,99.54195498,C,A,A,B,C,A,B,B,B,B,A,B,B,A,C,C,B,A,A,A,B,A,B,B,B,C,A,C,B,B,A,B,A,B,B,C,C,A,A,B,3.15
ST-36279,YDILNKE,26,Female,87.50534982,60.11760405,B,A,C,D,C,D,C,B,B,D,A,B,A,A,C,B,A,D,B,D,C,A,B,A,C,D,B,A,D,B,D,C,A,D,C,B,A,D,A,A,2.6
ST-27830,BBAORNS,20,Female,89.09677056,85.9123527,C,C,B,C,B,A,C,B,B,B,B,C,C,B,B,B,A,C,A,B,A,A,A,A,A,B,A,B,C,B,A,B,C,C,A,B,B,B,B,C,3
ST-44630,WQXRZDO,20,Female,98.58007116,70.53514939,A,B,C,A,A,B,B,A,B,A,C,C,B,C,C,C,B,B,A,C,B,A,B,B,B,C,B,C,B,C,A,C,A,C,C,B,A,B,B,C,2.9
ST-98217,TTDIJQC,24,Male,81.61178952,70.33485812,B,C,D,B,D,C,D,C,A,C,C,B,D,B,A,C,B,A,B,C,C,A,B,A,B,C,A,A,D,B,B,D,D,B,A,C,B,C,D,C,2.5
ST-71048,XDDJDFA,18,Female,92.04077148,87.66748383,C,C,A,C,B,A,C,B,C,C,A,B,B,A,A,B,B,C,A,A,B,A,B,C,A,C,A,A,C,A,B,B,B,A,A,A,C,A,C,B,3.1
ST-58280,NIJKEBM,24,Female,88.83633859,86.42116262,B,A,B,C,A,A,B,C,B,C,A,C,B,B,B,B,C,A,B,B,B,A,B,B,A,A,C,A,C,A,A,C,A,C,A,A,B,A,C,C,3.1
ST-76539,XBAJWTA,25,Male,79.56575792,64.48111541,D,C,C,C,B,A,D,A,C,A,D,B,B,D,A,A,D,B,C,B,B,A,C,A,A,D,C,A,D,A,B,C,B,C,A,C,A,A,C,A,2.725
ST-38385,BEXMJXJ,18,Female,56.66426792,86.35874514,A,C,B,B,B,A,D,C,B,D,D,A,C,B,A,C,A,D,B,D,D,D,D,A,C,C,C,D,D,C,D,B,C,C,C,A,D,C,C,C,2.225
ST-51421,ZUUZTZH,18,Female,57.12934771,52.36114479,C,C,D,F,B,E,F,E,C,C,E,D,F,B,C,C,D,F,F,E,B,C,C,D,C,C,C,E,D,D,F,D,C,E,B,D,F,C,F,E,1.238
ST-00878,UIXNEKL,22,Female,66.69105661,71.604659,B,D,C,E,C,D,D,C,B,D,B,B,A,A,B,A,A,B,D,B,C,D,E,A,B,E,A,E,E,E,C,C,A,A,E,D,B,C,C,C,2.188
ST-26659,OJXGNNF,20,Female,99.45156627,51.95387261,B,C,C,A,B,A,B,C,B,C,C,A,D,C,D,A,C,B,D,D,C,C,D,C,A,A,B,B,D,D,B,A,D,D,C,A,D,A,D,B,2.4
ST-63986,GWUHVHX,26,Male,81.73042504,79.53334475,B,A,A,A,C,A,A,B,A,B,B,C,B,A,C,C,C,B,B,A,B,C,C,B,A,A,A,B,C,C,C,A,A,C,A,C,A,C,A,C,3.05
ST-78525,TPXLKQV,20,Female,52.34762179,65.64732526,F,F,C,D,C,D,D,C,C,F,D,C,D,B,E,D,D,D,F,F,E,D,F,F,B,D,C,E,F,D,C,C,D,B,C,B,B,D,E,B,1.275
ST-20538,VXYUYZZ,20,Female,77.45345581,77.05825533,A,A,D,D,D,B,B,D,D,C,D,B,A,A,D,C,A,A,B,B,C,A,B,B,D,A,B,A,C,C,C,D,A,C,C,C,A,C,B,D,2.525
ST-73354,UXMFLMD,18,Male,52.68371846,85.22269263,D,D,C,E,A,C,C,C,E,A,B,E,A,C,A,B,D,C,E,B,E,C,D,B,B,D,B,E,B,B,D,C,D,E,B,E,C,A,B,C,2.025
ST-25236,SMXZIJF,26,Male,98.71236421,50.01329751,C,B,A,B,A,C,D,B,C,B,A,B,B,D,B,D,B,B,D,C,C,B,C,D,D,C,A,A,A,D,A,B,A,B,C,B,B,D,B,B,2.6
ST-67239,RRDFUEP,25,Female,92.30370235,65.07334555,D,B,C,B,D,B,B,B,D,D,B,C,D,D,A,D,B,C,B,A,C,D,B,A,D,D,C,D,A,C,D,A,D,B,D,B,D,C,A,D,2.175
ST-92945,DVQBQCT,20,Male,61.74249999,57.80452402,C,F,D,B,D,F,F,E,B,C,B,D,D,F,E,B,C,D,B,C,F,D,B,C,D,B,F,B,C,F,E,F,E,B,F,F,E,E,B,B,1.375
ST-88289,BHWGHBM,25,Female,72.90546537,50.34526912,B,C,D,A,D,D,A,B,D,A,E,A,A,A,E,E,C,D,E,D,E,B,E,A,B,E,C,A,A,A,C,B,E,C,C,E,B,B,A,D,2.212
ST-17237,VWEBDYY,26,Male,95.70718999,81.25231359,A,A,C,A,C,B,A,C,B,C,A,B,A,C,C,A,B,B,C,B,A,A,B,C,C,C,C,C,B,A,B,C,C,A,A,B,A,A,B,B,3
ST-37458,LBUMYMM,24,Female,79.8293199,74.27758701,A,D,A,B,C,D,D,A,C,B,D,C,B,C,C,A,D,D,B,C,D,C,B,C,A,D,A,A,D,B,C,A,B,C,A,C,C,C,A,C,2.45
ST-25134,KGTZCQN,21,Male,96.28251876,87.07533896,A,B,A,A,B,A,B,B,B,A,B,A,A,A,A,A,B,A,A,B,B,A,A,B,A,A,B,A,A,B,A,B,B,B,B,A,A,B,B,A,3.55
ST-18108,OTGXQHD,24,Male,76.27698488,58.14934924,D,E,B,D,C,E,D,D,C,C,C,D,D,A,E,D,A,C,E,D,D,B,E,D,B,B,A,D,C,E,B,E,C,D,B,B,B,D,C,D,1.738
ST-46018,KQITXNU,18,Female,74.30045658,89.2017872,B,B,C,C,A,A,B,C,A,C,C,C,A,B,C,C,A,C,C,C,C,B,B,C,B,C,A,B,C,B,A,A,A,A,C,B,C,C,A,B,2.825
ST-85206,JSIYWWC,22,Female,86.68128616,98.88745474,B,B,B,A,B,A,A,B,A,A,A,B,A,B,B,B,A,B,A,A,B,A,A,B,A,B,B,B,A,B,A,A,B,B,A,A,B,B,A,A,3.5
ST-87352,KFAQQIK,22,Female,98.09080383,82.94685275,B,A,A,B,B,A,A,B,B,A,A,B,B,B,A,B,A,B,B,B,A,B,B,B,A,A,B,B,A,A,B,B,A,A,B,A,B,A,A,A,3.475
ST-31171,OQHNWTH,24,Male,63.13385618,80.95618902,B,C,D,C,B,B,D,B,C,C,B,D,D,B,B,B,C,D,A,A,B,A,D,B,A,A,D,D,B,B,B,B,A,D,B,C,B,B,B,C,2.525
ST-01698,DJKGMGM,21,Male,60.17706265,50.84212401,E,E,D,D,C,D,F,E,C,F,D,F,B,B,B,E,D,F,F,F,E,B,D,D,B,D,F,E,C,B,E,E,F,C,E,F,F,E,D,D,1.025
ST-83498,STTLJYK,23,Female,82.80599614,51.50695009,D,D,D,C,E,C,B,D,E,B,B,C,B,B,B,A,B,E,E,E,D,D,A,A,B,B,A,A,D,E,A,B,D,B,A,E,E,A,D,D,2.125
ST-87540,VOCYZEF,23,Female,75.69524077,55.74455509,E,B,C,A,B,A,D,A,D,A,B,C,E,C,D,C,D,A,D,D,E,D,C,D,C,A,E,C,D,D,B,C,A,E,D,B,A,E,A,D,2.05
ST-23338,QKKYXGM,24,Male,83.27176764,90.02356923,C,B,B,A,C,A,A,B,A,A,B,B,A,B,C,B,A,A,C,C,C,A,B,A,B,B,B,B,C,C,A,B,C,C,B,A,C,C,B,B,3
ST-27835,JYRMJVJ,23,Female,70.55277626,67.47982397,E,D,B,C,A,C,C,C,E,E,B,C,D,D,A,D,A,E,C,B,C,B,D,B,C,E,A,C,D,A,A,A,D,E,C,B,E,B,D,C,2.062
ST-68107,YJULQLA,25,Female,70.61607272,59.23229276,C,B,E,D,A,B,B,E,B,E,B,C,E,D,B,E,B,B,C,E,C,D,E,C,A,A,B,E,D,A,C,D,B,C,C,D,B,A,A,E,2.088
ST-67531,UHBGQAB,26,Female,66.1077623,77.40415401,C,D,D,C,A,C,C,A,C,A,A,C,A,A,C,A,B,C,D,A,C,A,C,B,A,B,A,C,D,A,C,A,C,B,B,D,A,D,B,A,2.75
ST-82076,CFZSCGM,18,Female,53.98830948,80.22956635,B,D,E,E,B,A,E,D,A,A,D,D,C,A,D,C,D,E,C,C,D,D,C,C,A,A,A,D,E,A,D,D,A,C,B,A,E,B,D,C,2.075
ST-31537,OWDZUSD,25,Female,76.34726932,59.07885825,C,C,A,B,E,E,A,D,B,E,A,D,A,C,A,C,C,E,E,D,A,D,A,C,E,E,E,C,A,C,B,C,E,E,B,C,E,E,A,C,2
ST-27746,BULJBRA,20,Female,77.11907849,52.8334502,D,C,C,B,D,B,B,D,D,A,B,E,E,C,B,D,C,C,C,B,C,A,A,E,B,C,D,A,E,A,E,B,D,B,B,C,A,D,A,B,2.238
ST-34051,ZQSJGCD,20,Female,63.23784807,94.59168854,A,B,A,B,A,D,C,D,B,A,C,A,D,B,C,C,D,A,D,B,A,B,B,B,C,A,B,B,A,A,D,B,C,C,C,D,D,A,A,D,2.65
ST-92635,FQUIOLP,25,Female,63.60814149,66.33271796,E,D,A,D,B,E,D,C,D,C,D,B,D,E,A,B,C,D,E,A,C,A,A,C,A,A,C,B,C,B,D,E,E,D,B,B,A,E,B,A,2.162
ST-13133,VXFAHLP,22,Male,86.90451237,77.64721188,A,C,A,B,B,B,A,C,B,C,C,B,A,C,A,B,B,B,C,B,B,B,C,C,A,B,C,C,C,A,A,A,A,B,C,A,A,A,A,C,3.025
ST-37603,QVJNGOF,19,Female,66.54777423,56.3316737,C,E,B,D,B,E,E,D,D,C,E,B,A,D,E,B,D,A,E,B,B,E,B,C,E,A,B,D,E,A,D,C,E,E,C,E,E,C,A,A,1.838
ST-38415,TCQVPUB,21,Male,71.97855541,96.07188529,A,C,C,B,A,B,A,B,B,A,B,C,C,B,C,C,B,C,C,A,B,A,A,A,A,C,A,B,A,B,B,A,A,B,C,B,C,B,C,A,3.05
ST-26725,GLEITOZ,24,Male,57.74506552,97.97541178,D,A,A,B,D,A,B,D,A,C,D,B,A,C,A,A,D,D,B,C,C,C,A,B,A,A,D,A,D,B,A,A,D,B,D,B,B,A,C,C,2.675
ST-23865,RRUXAOS,18,Female,64.57012409,92.14741725,B,B,D,A,A,D,D,D,D,C,B,B,C,A,B,A,D,D,D,D,C,C,C,C,D,D,A,D,B,A,A,A,D,C,C,A,C,C,B,C,2.3
ST-29334,RBSOYYD,20,Female,83.64941249,99.78086193,A,B,A,B,B,B,B,B,B,B,B,A,A,B,A,B,A,B,B,B,A,A,B,B,A,A,A,A,B,B,A,B,B,B,A,B,B,B,B,A,3.375
